Year,co2_ppm,TempAnomaly,co2_ppm_smooth,TempAnomaly_smooth
1960,316.90833333333336,-0.03,318.6090277777778,-0.03333333333333333
1961,317.6433333333334,0.06,319.0030952380952,-0.037142857142857144
1962,318.4533333333333,0.03,319.40010416666667,-0.035
1963,318.9925,0.05,319.8056481481482,-0.04
1964,319.62,-0.2,320.2871666666667,-0.031
1965,320.0366666666667,-0.11,320.77757575757573,-0.025454545454545455
1966,321.3675,-0.06,321.2394444444445,-0.03
1967,322.1791666666667,-0.02,322.11847222222224,-0.02666666666666667
1968,323.05,-0.08,323.12166666666667,-0.01833333333333333
1969,324.62083333333334,0.05,324.09999999999997,-0.02666666666666667
1970,325.6816666666667,0.03,325.11131944444446,-0.03166666666666667
1971,326.32,-0.08,326.1451388888889,-0.02333333333333333
1972,327.45666666666665,0.01,327.29576388888887,0.000833333333333334
1973,329.6816666666667,0.16,328.46638888888884,0.011666666666666667
1974,330.1933333333333,-0.07,329.6877083333333,0.026666666666666672
1975,331.12833333333333,-0.01,330.99708333333336,0.055000000000000014
1976,332.0258333333333,-0.1,332.2886805555556,0.0775
1977,333.8441666666667,0.18,333.60506944444444,0.08666666666666667
1978,335.415,0.07,335.0078472222222,0.11916666666666668
1979,336.835,0.16,336.45875,0.13166666666666668
1980,338.7625,0.26,337.84791666666666,0.12833333333333333
1981,340.12,0.32,339.2990972222222,0.14916666666666667
1982,341.4783333333333,0.14,340.814375,0.17666666666666667
1983,343.15333333333336,0.31,342.4530555555555,0.21750000000000003
1984,344.8675,0.16,344.0664583333333,0.225
1985,346.3516666666667,0.12,345.65291666666667,0.25666666666666665
1986,347.6075,0.18,347.2253472222222,0.2775
1987,349.31166666666667,0.32,348.70729166666666,0.2741666666666667
1988,351.69,0.39,350.131875,0.26666666666666666
1989,353.205,0.27,351.5886111111111,0.2816666666666667
1990,354.45250000000004,0.45,353.0731944444444,0.2933333333333334
1991,355.70416666666665,0.41,354.5628472222222,0.30750000000000005
1992,356.54583333333335,0.22,356.02326388888883,0.33666666666666667
1993,357.215,0.23,357.6259722222222,0.3725
1994,358.9591666666667,0.32,359.2283333333333,0.3775
1995,360.9683333333333,0.45,360.72979166666664,0.3775
1996,362.74333333333334,0.33,362.2393055555556,0.39916666666666667
1997,363.8766666666666,0.47,363.8226388888889,0.41416666666666674
1998,366.84,0.61,365.5125694444444,0.43166666666666664
1999,368.53999999999996,0.38,367.2752777777778,0.4575
2000,369.7075,0.39,369.1726388888889,0.49499999999999994
2001,371.31916666666666,0.53,371.10027777777776,0.5216666666666666
2002,373.45250000000004,0.63,373.0216666666667,0.5391666666666667
2003,375.98333333333335,0.62,374.94576388888885,0.5566666666666668
2004,377.6983333333333,0.53,376.92625,0.5725000000000001
2005,379.98333333333335,0.68,378.86472222222227,0.5816666666666667
2006,382.09083333333336,0.64,380.8072916666667,0.6008333333333334
2007,384.02500000000003,0.66,382.8363194444444,0.6224999999999999
2008,385.8325,0.54,384.95451388888887,0.6350000000000001
2009,387.6425,0.66,387.06784722222227,0.645
2010,390.1016666666667,0.72,389.1536111111111,0.6683333333333334
2011,391.85083333333336,0.61,391.3797916666667,0.7083333333333334
2012,394.05583333333334,0.65,393.61097222222224,0.7283333333333334
2013,396.7375,0.68,395.8296527777777,0.7458333333333332
2014,398.8125,0.75,398.13166666666666,0.7725
2015,401.0125,0.9,400.49680555555557,0.8116666666666666
2016,404.41249999999997,1.01,402.8944444444444,0.8275000000000001
2017,406.7575,0.92,405.2633333333333,0.8416666666666667
2018,408.715,0.85,407.69875,0.8883333333333333
2019,411.64916666666664,0.98,410.24444444444447,0.9408333333333334
2020,414.21416666666664,1.01,411.47234848484845,0.9645454545454547
2021,416.4141666666667,0.85,412.73833333333334,0.9860000000000001
2022,418.52833333333336,0.89,414.0412037037038,0.9955555555555556
2023,421.0758333333333,1.17,415.24479166666674,0.9937500000000001
2024,424.6041666666667,1.28,416.457261904762,1.0042857142857142
